epoch,train_loss,train_acc,val_loss,val_acc
1,1.0287213177855956,0.41284403669724773,1.0287213177855956,0.41284403669724773
2,1.1681681029293516,0.41284403669724773,1.1681681029293516,0.41284403669724773
3,1.766550570452979,0.4036697247706422,1.766550570452979,0.4036697247706422
4,1.5979781664839579,0.46788990825688076,1.5979781664839579,0.46788990825688076
5,2.1359807766905616,0.41284403669724773,2.1359807766905616,0.41284403669724773
6,1.6415009772011993,0.45871559633027525,1.6415009772011993,0.45871559633027525
7,1.5832973292114538,0.48623853211009177,1.5832973292114538,0.48623853211009177
8,1.6443201456594905,0.47706422018348627,1.6443201456594905,0.47706422018348627
9,1.6619502459097346,0.47706422018348627,1.6619502459097346,0.47706422018348627
10,1.6261524027640666,0.46788990825688076,1.6261524027640666,0.46788990825688076
11,1.6311208983080103,0.46788990825688076,1.6311208983080103,0.46788990825688076
12,1.656237075088221,0.47706422018348627,1.656237075088221,0.47706422018348627
13,1.6570198317186549,0.47706422018348627,1.6570198317186549,0.47706422018348627
14,1.6875074019125842,0.4954128440366973,1.6875074019125842,0.4954128440366973
15,1.6918444622547255,0.46788990825688076,1.6918444622547255,0.46788990825688076
16,1.6673603189100914,0.47706422018348627,1.6673603189100914,0.47706422018348627
17,1.6981872276428642,0.45871559633027525,1.6981872276428642,0.45871559633027525
18,1.6320051436030536,0.47706422018348627,1.6320051436030536,0.47706422018348627
19,1.6950296229178752,0.45871559633027525,1.6950296229178752,0.45871559633027525
20,1.6655160527710522,0.47706422018348627,1.6655160527710522,0.47706422018348627
